Original Index,Sample Date,Lab Sample ID,Analyte,Reporting Value,Result,coordinates,x,y
14,8/31/2023,380-61457-6,,All VOCs are ND (Non-detect) ,,"[-156.306868072984, 20.7755328782086]",-156.306868072984,20.7755328782086
14,9/11/2023,380-62648-3,,All VOCs are ND (Non-detect) ,,"[-156.306868072984, 20.7755328782086]",-156.306868072984,20.7755328782086
14,9/11/2023,380-62648-4,,All VOCs are ND (Non-detect) ,,"[-156.306868072984, 20.7755328782086]",-156.306868072984,20.7755328782086
14,9/18/2023,,,All VOCs are ND (Non-detect),,"[-156.306868072984, 20.7755328782086]",-156.306868072984,20.7755328782086
15,8/18/2023,380-61457-1,,All VOCs are ND (Non-detect) ,,"[-156.307273646431, 20.7727902517806]",-156.307273646431,20.7727902517806
15,8/31/2023,380-61457-1,,All VOCs are ND (Non-detect) ,,"[-156.307273646431, 20.7727902517806]",-156.307273646431,20.7727902517806
15,8/31/2023,380-61457-2,,All VOCs are ND (Non-detect) ,,"[-156.307273646431, 20.7727902517806]",-156.307273646431,20.7727902517806
15,9/18/2023,,,All VOCs are ND (Non-detect),,"[-156.307273646431, 20.7727902517806]",-156.307273646431,20.7727902517806
16,8/18/2023,380-61457-7,,All VOCs are ND (Non-detect) ,,"[-156.306226700886, 20.7724595458563]",-156.306226700886,20.7724595458563
16,8/31/2023,380-61457-7,,All VOCs are ND (Non-detect) ,,"[-156.306226700886, 20.7724595458563]",-156.306226700886,20.7724595458563
16,8/31/2023,380-61457-8,,All VOCs are ND (Non-detect) ,,"[-156.306226700886, 20.7724595458563]",-156.306226700886,20.7724595458563
16,9/18/2023,,,All VOCs are ND (Non-detect),,"[-156.306226700886, 20.7724595458563]",-156.306226700886,20.7724595458563
17,08/21/2023,380-60457-4,Dichloromethane,,3.7,"[-156.305777032736, 20.7746398764968]",-156.305777032736,20.7746398764968
18,8/21/2023,,,All VOCs are ND (Non-detect),,"[-156.305123783921, 20.7752452417626]",-156.305123783921,20.7752452417626
19,8/18/2023,380-60461-1,,All VOCs are ND (Non-detect) ,,"[-156.310368320438, 20.7752975142435]",-156.310368320438,20.7752975142435
19,08/21/2023,380-60461-1,,All VOCs are ND (Non-detect) ,,"[-156.310368320438, 20.7752975142435]",-156.310368320438,20.7752975142435
19,8/31/2023,380-61458-1,,All VOCs are ND (Non-detect) ,,"[-156.310368320438, 20.7752975142435]",-156.310368320438,20.7752975142435
19,8/31/2023,380-61458-2,,All VOCs are ND (Non-detect) ,,"[-156.310368320438, 20.7752975142435]",-156.310368320438,20.7752975142435
19,9/11/2023,380-62663-1,,All VOCs are ND (Non-detect) ,,"[-156.310368320438, 20.7752975142435]",-156.310368320438,20.7752975142435
19,9/11/2023,380-62663-2,,All VOCs are ND (Non-detect) ,,"[-156.310368320438, 20.7752975142435]",-156.310368320438,20.7752975142435
19,9/18/2023,380-63670-1,Bis(2-ethylhexyl) phthalate,,0.88,"[-156.310368320438, 20.7752975142435]",-156.310368320438,20.7752975142435
20,08/21/2023,380-60457-6,Dichloromethane,,2.3,"[-156.305301251894, 20.7751787467433]",-156.305301251894,20.7751787467433
21,08/21/2023,380-60451-1,,All VOCs are ND (Non-detect) ,,"[-156.284856528609, 20.8107027425595]",-156.284856528609,20.8107027425595
21,9/11/2023,380-62650-1,,All VOCs are ND (Non-detect) ,,"[-156.284856528609, 20.8107027425595]",-156.284856528609,20.8107027425595
21,9/11/2023,380-62650-2,,All VOCs are ND (Non-detect),,"[-156.284856528609, 20.8107027425595]",-156.284856528609,20.8107027425595
22,9/11/2023,380-62650-3,,All VOCs are ND (Non-detect),,"[-156.291502262946, 20.8144004541959]",-156.291502262946,20.8144004541959
